anime_id,title,title_english,title_japanese,anime_type,episodes,status,aired_from,aired_to,score,scored_by,rank,popularity_rank,members,favorites,source,rating,season,season_year,duration,studios,producers,genres,extracted_at
62,D.C.: Da Capo,D.C.~Da Capo~,D.C.～ダ・カーポ～,TV,26.0,Finished Airing,2003-07-05T00:00:00+00:00,2003-12-27T00:00:00+00:00,6.7,31623,6217,2722,78845,199,Visual novel,PG-13 - Teens 13 or older,summer,2003.0,23 min per ep,feel.|Zexcs,Lantis|King Records,Drama|Romance,2026-01-25T21:29:02.799402
64,Rozen Maiden,Rozen Maiden,ローゼンメイデン,TV,12.0,Finished Airing,2004-10-08T00:00:00+00:00,2004-12-24T00:00:00+00:00,7.4,101271,2509,1266,217733,2107,Manga,PG-13 - Teens 13 or older,fall,2004.0,24 min per ep,Nomad,Mellow Head|Pony Canyon|TBS|Memory-Tech,Action|Drama|Supernatural,2026-01-25T21:29:03.992989
65,Rozen Maiden: Träumend,Rozen Maiden: Träumend,ローゼンメイデン トロイメント,TV,12.0,Finished Airing,2005-10-21T00:00:00+00:00,2006-01-27T00:00:00+00:00,7.61,61290,1656,2195,110583,489,Manga,PG-13 - Teens 13 or older,fall,2005.0,24 min per ep,Nomad,Mellow Head|TBS,Action|Drama|Supernatural,2026-01-25T21:29:05.210686
67,Basilisk: Kouga Ninpou Chou,Basilisk,バジリスク 甲賀忍法帖,TV,24.0,Finished Airing,2005-04-13T00:00:00+00:00,2005-09-21T00:00:00+00:00,7.53,81401,1965,1359,201485,1462,Manga,R - 17+ (violence & profanity),spring,2005.0,24 min per ep,Gonzo,GDH|Kodansha|Sotsu Music Publishing|Future Vision Music,Action|Drama|Romance,2026-01-25T21:29:06.423132
68,Black Cat,Black Cat,ブラックキャット,TV,23.0,Finished Airing,2005-10-07T00:00:00+00:00,2006-03-31T00:00:00+00:00,7.31,133021,2917,978,281416,1845,Manga,PG-13 - Teens 13 or older,fall,2005.0,24 min per ep,Gonzo,GDH|Dentsu|TBS|Sotsu Music Publishing|Future Vision Music,Action|Adventure|Sci-Fi,2026-01-25T21:29:07.692015
69,Cluster Edge,,CLUSTER EDGE（クラスターエッジ）,TV,25.0,Finished Airing,2005-10-05T00:00:00+00:00,2006-03-29T00:00:00+00:00,6.31,3448,8621,6667,11853,15,Original,PG-13 - Teens 13 or older,fall,2005.0,24 min per ep,Sunrise,Bandai Visual|Imagine,Action|Fantasy|Sci-Fi,2026-01-25T21:29:08.949459
71,Full Metal Panic!,Full Metal Panic!,フルメタル・パニック！,TV,24.0,Finished Airing,2002-01-08T00:00:00+00:00,2002-06-18T00:00:00+00:00,7.59,250123,1733,474,525116,4463,Light novel,R - 17+ (violence & profanity),winter,2002.0,24 min per ep,Gonzo,Kadokawa Shoten|KlockWorx,Comedy,2026-01-25T21:29:11.383560
73,Full Metal Panic! The Second Raid,Full Metal Panic! The Second Raid,フルメタル パニック！The Second Raid,TV,13.0,Finished Airing,2005-07-14T00:00:00+00:00,2005-10-20T00:00:00+00:00,7.91,152952,857,1014,271634,1302,Light novel,R - 17+ (violence & profanity),summer,2005.0,24 min per ep,Kyoto Animation,WOWOW|Kadokawa Shoten|KlockWorx|Happinet Pictures,,2026-01-25T21:29:12.602709
75,Soukyuu no Fafner: Dead Aggressor,Fafner,蒼穹のファフナーDead Aggressor,TV,25.0,Finished Airing,2004-07-05T00:00:00+00:00,2004-12-27T00:00:00+00:00,7.25,16108,3279,3440,52412,275,Original,PG-13 - Teens 13 or older,summer,2004.0,24 min per ep,Xebec,TV Tokyo Music|King Records,Drama|Sci-Fi,2026-01-25T21:29:13.807192
76,Mahou Shoujo Lyrical Nanoha,Magical Girl Lyrical Nanoha,魔法少女リリカルなのは,TV,13.0,Finished Airing,2004-10-03T00:00:00+00:00,2004-12-26T00:00:00+00:00,7.41,44000,2440,2202,109944,1086,Original,PG-13 - Teens 13 or older,fall,2004.0,25 min per ep,Seven Arcs,Starchild Records|Omnibus Promotion,Action|Comedy|Drama,2026-01-25T21:29:15.039846
